Time,Variable,AssetId,Value
2019-11-25 05:54:08.8640000,power,abc123xyz,1557.947998
2019-11-25 05:54:10.2280000,power,abc123xyz,1554.6149902
2019-11-25 05:54:14.1030000,power,abc123xyz,1548.3570556
2019-11-25 05:54:15.8600000,power,abc123xyz,1546.5250244
2019-11-25 05:54:17.1220000,power,abc123xyz,1537.1820068
2019-11-25 05:54:20.4760000,power,abc123xyz,1540.4399414
2019-11-25 05:54:22.1090000,power,abc123xyz,1536.4649658
2019-11-25 05:54:24.0070000,power,abc123xyz,1534.9610595
2019-11-25 05:54:25.4510000,power,abc123xyz,1527.9420166
2019-11-25 05:54:26.6840000,power,abc123xyz,1525.6340332
2019-11-25 05:54:28.1460000,power,abc123xyz,1524.4820556
2019-11-25 05:54:29.2560000,power,abc123xyz,1520.8360595
2019-11-25 05:54:30.7560000,power,abc123xyz,1524.0570068
2019-11-25 05:54:33.0450000,power,abc123xyz,1518.9310302
2019-11-25 05:54:34.1620000,power,abc123xyz,1516.6800537
2019-11-25 05:54:35.4400000,power,abc123xyz,1515.5839843
2019-11-25 05:54:37.4480000,power,abc123xyz,1507.9129638
2019-11-25 05:54:38.4970000,power,abc123xyz,1501.1860351
2019-11-25 05:54:40.0780000,power,abc123xyz,1495.8020019
2019-11-25 05:54:41.2330000,power,abc123xyz,1493.4139404
2019-11-25 05:54:42.9440000,power,abc123xyz,1489.5150146
2019-11-25 05:54:45.9400000,power,abc123xyz,1484.1219482
2019-11-25 05:54:47.6810000,power,abc123xyz,1481.9510498
2019-11-25 05:54:48.7860000,power,abc123xyz,1477.3449707
2019-11-25 05:54:49.9360000,power,abc123xyz,1481.389038
2019-11-25 05:54:51.0820000,power,abc123xyz,1476.5820312
2019-11-25 05:54:52.1810000,power,abc123xyz,1474.9360351
2019-11-25 05:54:54.9250000,power,abc123xyz,1467.006958
2019-11-25 05:54:56.4350000,power,abc123xyz,1468.0670166
2019-11-25 05:54:57.4890000,power,abc123xyz,1464.4320068
2019-11-25 05:54:58.8860000,power,abc123xyz,1461.881958
2019-11-25 05:55:00.1070000,power,abc123xyz,1459.0639648
2019-11-25 05:55:03.6370000,power,abc123xyz,1454.3170166
2019-11-25 05:55:05.8670000,power,abc123xyz,1447.5760498
2019-11-25 05:55:09.6260000,power,abc123xyz,1442.5300292
2019-11-25 05:55:10.8420000,power,abc123xyz,1439.2380371
2019-11-25 05:55:14.2500000,power,abc123xyz,1432.2540283
2019-11-25 05:55:15.5430000,power,abc123xyz,1430.5219726
2019-11-25 05:55:16.7240000,power,abc123xyz,1427.764038
2019-11-25 05:55:19.6890000,power,abc123xyz,1421.6779785
2019-11-25 05:55:21.1870000,power,abc123xyz,1418.1280517
2019-11-25 05:55:24.0710000,power,abc123xyz,1412.0429687
2019-11-25 05:55:26.2260000,power,abc123xyz,1409.1590576
2019-11-25 05:55:27.4430000,power,abc123xyz,1407.6040039
2019-11-25 05:55:28.5890000,power,abc123xyz,1403.0550537
2019-11-25 05:55:31.3730000,power,abc123xyz,1398.8630371
2019-11-25 05:55:33.0480000,power,abc123xyz,1393.8580322
2019-11-25 05:55:34.5220000,power,abc123xyz,1390.3029785
2019-11-25 05:55:36.4770000,power,abc123xyz,1387.0610351
2019-11-25 05:55:38.9620000,power,abc123xyz,1385.3389892
2019-11-25 05:55:40.3470000,power,abc123xyz,1378.7889404
2019-11-25 05:55:42.6260000,power,abc123xyz,1376.5679931
2019-11-25 05:55:43.9860000,power,abc123xyz,1370.223999
2019-11-25 05:55:45.7950000,power,abc123xyz,1368.2349853
2019-11-25 05:55:47.5650000,power,abc123xyz,1365.3100585
2019-11-25 05:55:48.5870000,power,abc123xyz,1363.9620361
2019-11-25 05:55:49.8090000,power,abc123xyz,1362.3000488
2019-11-25 05:55:51.1700000,power,abc123xyz,1360.0190429
2019-11-25 05:55:52.7610000,power,abc123xyz,1356.3919677
2019-11-25 05:55:53.8630000,power,abc123xyz,1354.2010498
2019-11-25 05:55:55.4660000,power,abc123xyz,1348.665039
2019-11-25 05:55:56.9410000,power,abc123xyz,1345.171997
2019-11-25 05:55:59.5940000,power,abc123xyz,1342.105957
2019-11-25 05:56:00.9690000,power,abc123xyz,1339.756958
2019-11-25 05:56:02.2350000,power,abc123xyz,1335.5350341
2019-11-25 05:56:03.2440000,power,abc123xyz,1333.7280273
2019-11-25 05:56:04.3620000,power,abc123xyz,1331.6070556
2019-11-25 05:56:06.1710000,power,abc123xyz,1327.3950195
2019-11-25 05:56:10.1930000,power,abc123xyz,1321.1689453
2019-11-25 05:56:11.2610000,power,abc123xyz,1316.139038
2019-11-25 05:56:13.0890000,power,abc123xyz,1311.3520507
2019-11-25 05:56:14.1870000,power,abc123xyz,1306.0290527
2019-11-25 05:56:15.4280000,power,abc123xyz,1303.6500244
2019-11-25 05:56:16.6500000,power,abc123xyz,1297.0600585
2019-11-25 05:56:18.9220000,power,abc123xyz,1294.9239501
2019-11-25 05:56:20.1840000,power,abc123xyz,1293.079956
2019-11-25 05:56:21.7000000,power,abc123xyz,1291.5450439
2019-11-25 05:56:23.0400000,power,abc123xyz,1287.348999
2019-11-25 05:56:24.1230000,power,abc123xyz,1283.8809814
2019-11-25 05:56:25.7170000,power,abc123xyz,1280.4100341
2019-11-25 11:00:33.7480000,power,abc123xyz,-434.2030029
2019-11-25 11:00:37.8720000,power,abc123xyz,-438.4840087
2019-11-25 11:00:41.2950000,power,abc123xyz,-442.8089904
2019-11-25 11:00:42.4510000,power,abc123xyz,-440
2019-11-25 11:00:50.4120000,power,abc123xyz,-442.4519958
2019-11-25 11:00:51.4510000,power,abc123xyz,-441.0700073
2019-11-25 11:00:53.0140000,power,abc123xyz,-438.8399963
2019-11-25 11:00:54.7200000,power,abc123xyz,-434.2030029
2019-11-25 11:00:57.1410000,power,abc123xyz,-437.8150024
2019-11-25 11:01:00.8630000,power,abc123xyz,-436.6560058
2019-11-25 11:01:08.5100000,power,abc123xyz,-438.0379943
2019-11-25 11:01:10.3400000,power,abc123xyz,-436.8779907
2019-11-25 11:01:11.4520000,power,abc123xyz,-438.171997
2019-11-25 11:01:12.8500000,power,abc123xyz,-441.1140136
2019-11-25 11:01:14.5270000,power,abc123xyz,-437.3240051
2019-11-25 11:01:16.6120000,power,abc123xyz,-433.4010009
2019-11-25 11:01:18.7550000,power,abc123xyz,-431.9289855
2019-11-25 11:01:23.1310000,power,abc123xyz,-430.546997
2019-11-25 11:01:46.0800000,power,abc123xyz,-434.1589965
2019-11-25 11:02:06.9490000,power,abc123xyz,-432.9100036
2019-11-25 11:02:12.1470000,power,abc123xyz,-435.8980102
2019-11-25 11:02:13.9150000,power,abc123xyz,-438.2160034
2019-11-25 11:02:18.4050000,power,abc123xyz,-439.375
2019-11-25 11:02:26.3950000,power,abc123xyz,-436.1199951
2019-11-25 11:02:42.0140000,power,abc123xyz,-430.9039916
2019-11-25 11:02:56.8410000,power,abc123xyz,-429.4769897
2019-11-25 11:03:00.1080000,power,abc123xyz,-430.8139953
2019-11-25 11:03:21.7380000,power,abc123xyz,-432.9549865
2019-11-25 11:03:29.2220000,power,abc123xyz,-431.7059936
